|id|title|location|company|industry|seniority|text
0|1946611630|Data Engineer ETL|Madrid y alrededores, España|Hays|Chemicals|Mid-Senior level|"
        <p>We are currently collaborating with an important company &nbsp;with an ambitious project involving the establishment of a new <strong>Technological Hub</strong>&nbsp;which will form the stepping stone for the firm’s future structural growth in Madrid- Spain. </p><p><br>
 </p><p>As a result of rolling-out this new hub, they are expanding their structure, to incorporate a new </p><p><strong>Data Integration Engineer</strong> </p><p><br>
 </p><p><strong>¿</strong><strong>&nbsp;Who is the client?</strong> </p><p><strong><br>
</strong> </p><p>German Multinational Company&nbsp; with more than 2000 employees nationally. </p><p>For the Technological Hub a new team will be launched based in Madrid that will provide global support to the rest of the company. </p><p><br>
 </p><p><strong>What professional profile are we looking for?</strong> </p> <p><br>
 </p><p><u>Required:</u> </p><ul><li>Experience working with metadata and understanding the meaning of it </li><li>Experience with working with some different data source types (Database, Cloud application) </li><li>Experience with usage of REST API </li><li>Hands-on development experience in a <strong>ETL tool</strong> (Conceptional: input file à transformation à mapping à receiver determination à output file) </li><li>Experience with usage of formats JSON and XML </li><li>Understanding of extended SQL statements </li></ul> <u><br>
</u><p><u>Nice to Have:</u> </p><ul><li>Experience with <strong>Data Governance tool</strong> </li><li> Experience on Data Modeling <strong><br>
</strong> </li><li>Experience with working with data source type SAP ERP </li><li>ABAP Dictionary (Transaction SE11) (e.g. to search for all database tables using a certain domain name) </li><li>Experience with working with data source type SAP BW, know-how of different Object Types </li><li>Know-how of MuleSoft Anypoint Studio </li><li>Experience with Eclipse, Maven, Jenkins and/or Git. </li><li>Working with agile methodology (Scrum) </li><li>Able to collect &amp; discuss business requirements </li></ul> <u><br>
</u><p><br>
 </p><p><strong>¿What we offer?</strong> </p><p><strong><br>
</strong> </p> A challenging area of responsibility with a high degree of personal responsibility. You will get opportunity to work on cutting edge technologies on exciting digitalization projects. You will be trained ""on the job"" in a dedicated, competent team.<p>&nbsp; </p><p><strong>¿Estás interesado/a?</strong> </p><p>&nbsp; </p>Si deseas formar parte de esta apasionante oportunidad esperamos tu candidatura o escribe a daniela.castelao@hays.es
<!---->      "
1|1952320162|Data Engineer|Madrid, ES|e-Frontiers Ltd|Telecommunications|Entry level|"
        <p><br>
<u><strong>Data Engineer<br>
<br>
</strong></u></p><p><strong>Responsabilitites:<br>
<br>
</strong></p><ul><li>Support data science collecting and distributing necessary data, and presenting production predictive models for use in end-user products</li><li>Implement and maintain key data flows in serverless frameworks</li><li>ETL logic in frameworks such as Glue (AWS) and Data Works (Alibaba Cloud)</li><li>Adaptors between systems in frameworks such as Lambda (AWS) or Function Compute (Alibaba Cloud)</li><li>CI/CD in Cloud environments like AWS or Alibaba (with knowledge of CloudFormation or Terraform)</li><li>Write and maintain SQL and Python data querying, aggregation and filtering code in SQL and Python</li><li>Contribute to data schema structure and ensure adherence</li><li>QA data as it comes into and out of our systems</li></ul><p><strong>Experience:<br>
<br>
</strong></p><ul><li>Excellent knowledge of serverless cloud architecture principles. Experience in at least one Cloud provider. Ideally AWS and Alibaba.</li><li>2+ years of experience writing test-drive Python in an agile environment</li><li>2+ years of experience implementing ETL flows using both file and API sources</li><li>Prior experience with complex SQL queries, including sub-queries, case statements and UNION</li><li>Prior experience implementing HTTP REST APIs</li><li>Knowledge of data structuring and schema best practices and standards</li><li>Ability to self-manage priorities in an environment with a constant mix of urgent and important</li><li>Fluent written and spoken in English</li><li>Thrilled to be part of a major worldwide sporting event</li><li>Desirable familiarity with data science techniques in Python and/or R</li><li>Desirable server-side Node JS experience</li></ul><p>You will start working remotely but you have to be open to move to Madrid at some point. <br>
<br>
</p><p>Please, feel free to reach me out for more info at <strong>virginia.duenas@e-frontiers.ie<br>
<br>
</strong></p><p></p>
<!---->      "
2|1949770762|Data Science Talent Program 2020|Madrid, ES|Banco Santander|Information Technology & Services, Computer Software, Financial Services|Entry level|"
        Imagínate lo que podrías hacer con 1500 Terabytes de información.<br>
<br>
Desde las diferentes unidades de Data Analytics dentro del banco tenemos por objetivo investigar e innovar para dar solución a las necesidades financieras de nuestros clientes. Convertimos el dato en prácticas e innovadoras soluciones gracias al uso de las tecnologías más punteras.<br>
<br>
A través de nuestro Data Science Talent Program accederás a una formación de posgrado especializada en Data Science, al mismo tiempo que te incorporas en uno de los equipos del banco que actualmente trabajan con estas metodologías.<br>
<br>
Como participante del programa tendrás la oportunidad de cursar un posgrado en Big Data &amp; Analytics creado específicamente en uno de los centros universitarios de referencia en este ámbito. Aprenderás sobre Infraestructuras de Big Data, Data Analytics, Visualización de Datos y Machine Learning.<br>
<br>
Además, durante un año formarás parte como estudiante en prácticas en una de las áreas que actualmente utilizan este tipo de herramientas en el Grupo Santander, entre las que están Inteligencia Comercial y CRM, Riesgos, Global Corporate Banking, Tecnología y Control de Gestión.<br>
<br>
Este programa es el primer paso para iniciar tu camino en un sector en plena transformación, en el que data science se perfila como estratégico. Creemos además que es una buena oportunidad poder hacerlo de la mano de Banco Santander, donde estamos comprometidos con el progreso de las personas y de las empresas. Una organización global, presente en 10 países, de la que formamos parte más de 180.000 personas.<br>

          <br>
          <h3 class=""js-skills-header t-16 t-black--light t-bold"">Desired Skills and Experience</h3>
          Lo más importante es tener un interés real en desarrollar tu carrera como Data Scientist. Este programa va a exigir un esfuerzo considerable.<br>
<br>
Es imprescindible también que los estudiantes de último curso o recién graduado en matemáticas, estadística, informática, física o telecomunicaciones. Si ya posees una formación de posgrado en este ámbito, por supuesto también será bien valorada.<br>
<br>
Importante disponibilidad para comenzar en Septiembre 2020.<br>

      "
3|1937000373|JUNIOR DATA SCIENTIST|AVENIDA LLANO CASTELLANO Nº 51, MADRID, MD 28034, ES|TENDAM|Design|Associate|"
        <p>We are growing our data science team to help Tendam solve challenging problems from the retail fashion industry. We are now seeking a Data Scientist for a unique opportunity of impacting the way the world experiences fashion.</p><p>&nbsp;</p><p><strong>What you will do</strong></p><p>&nbsp;</p><ol><li>Decompose complex data problems and conduct rigorous analysis and evaluations</li><li>Undertake preprocessing of structured and unstructured data</li><li>Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.</li><li>Develop custom data models and algorithms to apply to data sets</li><li>Present information using data visualization techniques</li></ol><p>&nbsp;</p><p><strong>What we are looking for</strong></p><p>&nbsp;</p><ol><li>Scientific background with computational and analytical skills</li><li>Strong problem-solving skills</li><li>Programming skills with Python and SQL</li><li>Understanding and experience with big data systems, especially with Spark</li><li>Knowledge of a variety of machine learning techniques (clustering, regression, decision trees, neural networks, etc.) and recommendation systems</li><li>Experience with data visualization tools and packages</li><li>A drive to learn and master new technologies and techniques</li><li>Excellent written and verbal communication skills</li><li>&gt;1 year of industry experience</li></ol><p>&nbsp;</p><p><strong>Extra qualifications</strong></p><ol><li>Experience working with huge amounts of data</li><li>Familiarity with program-oriented languages (e.g., Java or Scala)</li><li>Experience with ETL systems</li><li>Experience with cloud based web services (e.g., AWS)</li><li>Experience with Deep Learning and Tensorflow</li></ol><p>&nbsp;</p><p><strong>Why Tendam</strong></p><p><br>
</p><ol><li>One of the largest customer data repositories in industry: more than 20M Club members</li><li>Working with multiple different data sources: purchases, marketing campaigns, products, web navigation, apps, etc.</li><li>Working with cutting edge technologies and building machine learning models to solve real world problems: have a real impact in the business!</li><li>Ability to immediately test the model results in real pilots: quick time to market!</li><li>Exposure to agile methodologies</li><li>Working with senior Data Scientists to accelerate your professional development</li><li>Working in a challenging and dynamic industry</li></ol><p></p>
<!---->      "
4|1922056757|DATA SCIENTIST|Madrid y alrededores, España|KPMG España|Accounting|Mid-Senior level|"
        <p>¿Te gustaría trabajar en una de las cuatro empresas mejor valoradas de España? ¡Esta es tu oportunidad! ¡Únete a KPMG! KPMG ha sido elegida nueve años consecutivos empresa Top para Trabajar, y a nivel internacional es del mismo modo un referente deseado por los mejores profesionales del mundo.<br>
<br>
Desde el equipo de LIGHTHOUSE, nuestro área de Data &amp; Analytics, ayudamos a nuestros clientes a encontrar la eficiencia y el alto rendimiento en todas sus funciones TIC, tanto internas como externas hacia sus unidades de negocio y proveedores: buscando la máxima eficiencia en la operación de sus servicios y ajustando sus costes; así como incrementando su trascendencia en la cuenta de resultados y facilitando la innovación. </p><p><br>
 </p><p>Buscamos Científicos del Dato con experiencia para unirse a nuestro equipo. </p> <strong><u><br>
</u></strong><p><strong><u>¿Qué harás?</u></strong> </p><p><strong><u><br>
</u></strong> </p><p>-Consulta en bases de datos SQL ;<br>
-Planificación de tareas, automatización y anonimización ;<br>
-Desarrollo de cuadros de mando y reportes;<br>
-Desarrollo de ETL´s;<br>
-Explotación de información;<br>
-Orientación hacia la normalización de datos, descubriendo e interpretando información del BI y transformando la información.<strong><u><br>
</u></strong> </p><p><strong><u><br>
</u></strong> </p><p><strong><u><br>
</u></strong> </p><p><strong><u>Se requiere:</u></strong> </p> <p><strong>&nbsp;</strong> </p> — Formación universitaria en rama tecnológica.<br>
 — 1-4 años de experiencia en:<br>
— Modelos analíticos/matemáticos: series temporales, redes neuronales, regresiones lineales, grafos, modelos de ML…<p> — Conocimientos en BBDD: SQL, MYSQL... </p><p> — ETL .<br>
— Experiencia en soluciones de Inteligencia artificial<br>
— Conocimiento de lenguajes de programación: Python, R, Spark...<br>
<br>
Recomendable:<br>
-Experiencia en visualización: PowerBI, Qliksense, Microstrategy…<br>
- Conocimientos de arquitecturas y ecosistemas Big Data: Hadoop, Spark, Hive, Pig, Databricks…<br>
- Experiencia sobre entornos Cloud </p><p><br>
 </p><p> ¿Qué te ofrecemos?&nbsp;<br>
 </p><p><br>
 </p><p>• &nbsp; &nbsp; Firma líder en transformación digital, perfecta para aprender sobre las últimas tecnologías.<br>
• &nbsp; &nbsp; Un gran entorno de trabajo, tanto dentro como fuera de la oficina.<br>
• &nbsp; &nbsp; Oportunidades internacionales y red de contactos global (UK, US, etc.).<br>
• &nbsp; &nbsp; Formación continua: acceso a trainings y certificaciones.<br>
• &nbsp; &nbsp; Salario competitivo y plan de remuneración flexible.<br>
• &nbsp; &nbsp; 31 días laborables de vacaciones.<br>
• &nbsp; &nbsp; Posibilidad de teletrabajo.<br>
KPMG es tener un plan de carrera, dónde crecer y progresar con una clara proyección. Es aprendizaje continuo; aquello que se aprende on-the-job, de la mano de otros profesionales de referencia. Es poder formar parte de una firma líder en servicios profesionales.<br>
<br>
Dinos en qué puesto o puestos crees que encajas y únete a KPMG. ¡Te estamos esperando!</p>
<!---->      "
5|1861095528|Programa Santander TechUp. Data Science|Provincia de Madrid, ES|Disjob|Information Technology & Services, Staffing & Recruiting, Human Resources|Entry level|"
        Boadilla del Monte (Madrid)<br>
<strong>Empresa: </strong>Fundación Universia<br>
<strong>Requisitos: </strong>-Capacidad de aprendizaje constante, capacidad analític-lógica y pensamiento resolutivo/out-of-the-box. -La capacidad de trabajo en equipo es indispensable. -Se valorará especialmente perfiles formativos STEM: Informática, Telecomunicaciones, Matemáticas, Estadística, Física, etc. -Se tendrán en cuenta titulaciones no STEM siempre y cuando sea contrastable conocimientos y capacidades de programación. -Tener experiencia entre mínimo 1 año a 3 años máximo. -Inglés mínimo C1. -Conocimientos en lenguajes de programación de Machine Learning: Python, C, C++, Javascript, C#, Julia, Scala, R, etc.<br>
<strong>Jornada: </strong>Completa<br>
<strong>Contrato: </strong>Indefinido<br>
<strong>Salario: </strong>21.000,00 €
<!---->      "
6|1923735957|PERFIL BUSINESS ANALYTICS – JUNIOR DATA SCIENTIST|Madrid y alrededores|everis|Management Consulting|Mid-Senior level|"
        <p>everis desea contratar <strong>Junior Data Scientists </strong>para el departamento de<strong> Business Analytics</strong> que sean capaces de obtener conclusiones de negocio a partir de grandes volúmenes de información mediante la realización de análisis estadísticos y modelos de analítica avanzada. </p><p>&nbsp; </p><p><u><strong>Titulación</strong></u><strong>:</strong> Formación en Matemáticas, Estadística, Física, o formación técnica (Ingeniería Informática, Ingeniería Industrial, Ingeniería Telecomunicaciones…). Se valorarán Postgrados en Inteligencia Artificial, Data Science, Big Data, etc. </p><p>&nbsp; </p><p><u><strong>Experiencia</strong></u><strong>:</strong> de 1 a 3 años en Business Analytics, Data Science, Advanced Analytics </p><p>&nbsp; </p><p><u><strong>Tareas a realizar:</strong></u> </p><p><u>&nbsp;</u> </p><ul><li>Carga, limpieza y tratamiento de datos estructurados y no estructurados en bases de datos: Oracle y/o SQL Server, Mongo DB, Casandra, etc… </li><li>Análisis de la calidad de la información </li><li>Análisis de datos mediante estadística descriptiva y exploratoria </li><li>Elaboración de estudios y análisis orientados a la obtención de conclusiones de negocio. </li><li>Aplicación de técnicas de modelación y Machine Learning </li><li>Gestión de las relaciones multidisciplinares: de negocio y tecnología. </li></ul><p><br>
 </p><p><u><strong>Conocimientos:</strong></u> </p><ul><li>Requerido: <ul><li>Conocimientos de SQL y BBDD relacional y no relacional </li><li>Manejo de técnicas de estadística descriptiva y exploratoria </li><li>Programación en Python o R </li></ul></li><li>&nbsp; </li><li>Valorado: <ul><li>Modelos estadísticos y matemáticos, y técnicas de Machine Learning: redes neuronales, Random Forest, SVM, algoritmos evolutivos, series temporales, modelos y redes bayesianas, segmentación, etc Bases de datos no relacionales (NoSQL, Casandra, MongoDB, etc.) </li><li>Tecnologías Big data: Spark, Hive, h2o, etc... </li><li>Text Mining, Deep Learning, Process Mining, Optimización </li><li>Manejo en plataformas de data science (RapidMiner, KNIME, etc.) </li><li>Metodologías para la ejecución de proyectos de Data Science </li><li>Manejo avanzado de Power Point y Excel </li><li>Manejo de entornos cloud AWS y Azure</li></ul></li></ul>
<!---->      "
7|1852916810|ES - Data Scientist.|Madrid, ES|Devoteam|Information Technology & Services, Computer Software, Financial Services|Entry level|"
        Descripción de la empresa<br>
<br>
Súbete a la nube con Devoteam Cloud!<br>
La Digitalización es un proceso imparable en las empresas y nosotros somos pioneros en liderar este cambio, nos identificamos por ser emprendedores en tecnologías y hoy somos referencia en la Revolución Digital.<br>
Nuestra filosofía ""One Team"", es la clave de nuestro éxito, la Formación y las Certificaciones son esenciales para el buen desempeño de nuestros consultores, más de 6700+ especialistas en Devoteam trabajan para acompañar a las empresas en su Transformación Digital en los 18 países donde estamos presentes.<br>
Devoteam es uno de los principales Partner de Google en Europa, te animo a conocernos y a escuchar las oportunidades que tenemos para tí, diviértete y desarrolla tu carrera en Devoteam de la mano de Google!<br>
<br>
Descripción del empleo<br>
<br>
Perfil experto en desarrollos de algoritmos matemáticos de prevención de riesgos en Python. Perfil Desarrollo y modelado de datos en Entornos Data Scientist. Modelos deterioros de cliente, fraude, modelos Dechow.<br>
<br>
Experiencia contrastada en la gestion de proyectos de sistemas de<br>
información de Riesgo de Crédito/Finanzas/Capital SCIB. Conocmiento en métricas de gestión y regulatorias.<br>
<br>
Títulos<br>
<br>
Conocimientos intermedios en:<br>
<br>
<li> MySQL</li><li> PostgreSQL</li><li> Python</li><li> UNIX Shell<br>
<br>
</li>Información adicional<br>
<br>
En Devoteam estamos comprometidos con la igualdad de oportunidades de empleo sin importar raza, color, religión, sexo, origen nacional, orientación sexual, edad, ciudadanía, estado civil, discapacidad, identidad de género.<br>
<br>
El Respeto, la Pasión y la Transparencia son clave y forman parte de nuestro ADN.<br>
<br>
Si te identificas con nuestros principios, y te motiva trabajar en un entorno digital, multinacional, colaborativo, joven y divertido, solo tienes que enviarnos tu CV!!
<!---->      "
8|1869413223|DATA ENGINEER|Madrid y alrededores, España|BBVA Next Technologies|Computer Software|Associate|"
        <p>Hello world!! 🚀 </p><p><br>
</p><p>En BBVA Next Technologies siempre estamos abiertos a conocer personas con diferentes perfiles IT que quieran unirse al #BBVANextTeam para trabajar en proyectos punteros con impacto real y usar tecnologías emergentes.</p><p><br>
</p><p>Personas que sean dinámicas, honestas, proactivas, que les guste el trabajo en equipo, que no tengan miedo a volver a intentarlo y elijan siempre seguir aprendiendo. Trabajamos en equipos multidisciplinares, siguiendo metodologías Agile y bajo la cultura DevOps.</p><p>&nbsp;</p><p><br>
</p><p><strong>¿Qué conocimientos nos gustan?</strong></p><p><br>
</p><ul><li>Conocimiento de Scala o Python, Spark, Jenkins y Git.</li><li>Conocimientos de cloud (AWS, Azure o GCP).</li><li>Conocimientos de testing, incluyendo desarrollo de pruebas unitarias y end-to-end, herramientas de testing automático y reporting de las pruebas.</li></ul><p><br>
</p><p><br>
</p><p><strong>Y además...</strong></p><p><br>
</p><ul><li>Te comunicas de manera clara y estructurada.</li><li>Eres capaz de adaptarte a nuevas formas de trabajar y a nuevas herramientas.</li><li>Tener autonomía y responsabilidad.</li></ul><p><br>
</p><p><br>
</p><p><br>
</p><p><strong>Y ahora llega la parte donde te decimos todo lo que podremos hacer juntos... </strong></p><p>&nbsp;</p><ul><li>Si estabas pensando en certificarte, para que te hagas una idea del alcance, actualmente tenemos 256 certificados en cloud: 190 Amazon Web Services, 31 Google Cloud y 35 Microsoft Azure.</li><li>Si además llevas tiempo buscando formación y orientación para crecer como profesional, en BBVA Next te damos las herramientas y los recursos para conseguirlo: 1.000 € anuales para formarte dentro de tu horario laboral para seguir aprendiendo y alimentar esa curiosidad infinita que tanto nos gusta!!</li><li>Creemos en tu desarrollo profesional. Es algo que cuidamos especialmente poniéndote en contacto con personas que pueden impulsar tu carrera y a través de modelos y herramientas que facilitan que puedas compartir tu conocimiento.</li><li>Tendrás un contrato indefinido en una compañía 100% digital, tecnológica y en un grupo financiero líder internacional.</li><li>Llegarás y sentirás el buen rollo; tenemos muy buen ambiente. 9,06 en Compañerismo en la encuesta de clima.</li><li>¿Te preguntas si tendrás visibilidad? Sí. Favorecemos que puedas asistir a eventos tanto nacionales como internacionales y organizar por tu cuenta eventos open company, así como participar en las iniciativas y actividades de la compañía.</li></ul><p>&nbsp;</p><p>&nbsp;</p><p><strong>Como no todo es trabajo, también nos fascina decirte que… </strong></p><p>&nbsp;</p><ul><li>Tenemos 30 días laborables de descanso al año y 2 meses de jornada intensiva.</li><li>Puedes disfrutar de al menos 2 días a la semana de teletrabajo, y de horario flexible de entrada/salida para que lo puedes adaptar a tus necesidades.</li><li>También dispondrás de ayuda alimentaria.</li><li>Ser una compañía 100% BBVA tiene muchas ventajas como poder disfrutar de todos los productos financieros como empleado del Grupo (hipotecas, préstamos, tarjetas, seguros, etc.).</li><li>Y también, puedes acceder a un programa de retribución flexible que te hará la vida más cómoda: seguro médico, tarjeta de transporte público, tarifas de Internet, cheques guardería, descuentos a empleados, entre otros.</li></ul><p><br>
</p><p><br>
</p><p>Puedes compartirnos tu CV y cuando surja la oportunidad, ¡¡hablamos!!</p>
<!---->      "
9|1905098020|Consultor Data Scientist|Madrid y alrededores, España|Bip Spain|Management Consulting|Associate|"
        <p><u>Do you want to be part of tech revolution?</u></p><p>So join BIP - x.Tech, our Center of Excellence focused on innovation and consulting services concerning Advanced Analytics, Data Science and Big Data, RPA, and Networking.</p><p>In order to face a strong growth trend,&nbsp;we are looking for passionate experienced Data Scientists with strong skills in software development, data analysis and modeling to join our team working on innovative data analysis, machine learning and AI projects.&nbsp;</p><p>Our team of advanced data analytics pull alongside business experts and our Clients to design and develop Business Intelligence tools embedding decision support models, based on Data Mining &amp; Machine Learning methods.</p><p>We represent a trusted (as independent third party) and technical-aware advisor to support technical decision on Big Data architectures and solutions.</p><p>Thanks to our joint knowledge of both business needs and data mining techniques, we sit in between business and technical departments to enable and speed up data-driven projects.</p><p>Core Skills:</p><p>-&nbsp;Master's Degree in Computer Engineering, Mathematical Engineering, Computer Science, Statistics or related disciplines</p><p>-&nbsp;Strong quantitative approach and brilliant analytical skills</p><p>-&nbsp;Passion and expertise in data exploration, data analysis and modeling: our team designs and develops systems to support strategic business decisions</p><p>-&nbsp;Programming skills with one or more of the following languages: Python, Java, Javascript, Bash</p><p>-&nbsp;Knowledge of relational and SQL databases</p><p>-Working knowledge of SAS Analytics and Data Management</p><p>- Statistical skills, Data Mining and Machine Learning: the knowledge of tools such as R, Knime, RapidMiner, Weka R, Knime, RapidMiner, Weka is a plus</p><p>-&nbsp;The understanding of Big Data technologies like Hadoop, MapReduce, Spark is also appreciated</p><p>-&nbsp;Fluency in&nbsp;English&nbsp;as we work on international projects (i.e. “emerging markets”)</p><p>&nbsp;</p><p>Soft Skills:</p><p>-&nbsp;Consulting standing: we do wear suits and we travel a lot if required!</p><p>-&nbsp;Strong quantitative approach: we do seek people that can crunch math problems easily</p><p>-&nbsp;Good attitude to work in a team Excellent relationship and communication skills</p><p>-&nbsp;Accuracy and good stress tolerance in compliance with deadlines</p><p>Your role and compensation package will be based on your experience gained in the field. We offer a bracing and goal-based growth path within a young and constantly growing company.</p><p>If your profile will be suitable for the job, we will arrange a first appointment in order to meet each other. Otherwise, we will keep your resume in our database, ready to contact you if opportunities more in line with your professional experience will arise.&nbsp;</p><p>&nbsp;</p>
<!---->      "
